章	章题	段	本站上下文(〔〕内为本站读法)	本站读法	劝学网本	古诗文本	差异类型	同书内证(全书只留汉字计次;讹写含本处)	标出来源	判定	依据	建议 typoFix
36	二、子女	4	六岁生子，每〔所〕得一子，连生	所	年	年	形近讹	正写 「每年得」0 「每年」0 「年得」4;讹写「每所得」1		B	两见证本作「每年得一子」	每所得 → 每年得
36	二、子女	8	，生十二子，〔刑逝〕十子。现存二	刑逝	同本站	同本站	见证本亦同		注疏	C		
36	二、子女	17	，伤其辛金，〔所以已丑〕戊子运中，不	所以已丑	同本站	同本站	见证本亦同	正写 「以己丑」0 「以己」2 「己丑」11;讹写「以已丑」1	扫描	B	「已」非天干	所以已丑 → 所以己丑
37	三、父母	0	父母〔或降与或替〕，岁月所关果	或降与或替	同本站	同本站	见证本亦同	正写 「或隆与」0 「或隆」0 「隆与」0;讹写「或降与」1	注疏	B	降/隆形近;辑要作「或兴与或替」,「隆替」「兴替」同义	或降与或替 → 或隆与或替
37	三、父母	1	印生之神，而〔损益舒得所〕，及阴阳多寡	损益舒得所	同本站	同本站	见证本亦同		注疏	C		
37	三、父母	2	把握，仍惑于〔谷书〕之谬也。夫父	谷书	同本站	同本站	见证本亦同	正写 「于俗书」0 「于俗」0 「俗书」2;讹写「于谷书」1	白话+注疏	B	谷/俗形近;同书「俗书」	于谷书 → 于俗书
37	三、父母	2	帮父兴家：年〔秎〕月印，日景喜	秎	伤	伤	形近讹	正写 「年伤月」0 「年伤」0 「伤月」0;讹写「年秎月」1	注疏	C	处于本段大段脱文之中(见证本多出四句),单改一字无益	
37	三、父母	2	年秎月印，日〔景〕喜印，时日逢	景	主	主	形近讹	正写 「日主喜」32 「日主」398 「主喜」32;讹写「日景喜」2	白话	C	同上	
37	三、父母	2	者，知其父母〔〕印者，知其自	∅	创业之命年	创业之命年	脱文(长)	正写 「母创业之命年印」0 「母创业之命年」0 「创业之命年印」0;讹写「母印」1		C		
37	三、父母	2	，知其父母印〔〕者，知其自创	∅	月才日主喜印时上遇官	月才日主喜印时上遇官	脱文(长)	正写 「印月才日主喜印时上遇官者」0 「印月才日主喜印时上遇官」0 「月才日主喜印时上遇官者」0;讹写「印者」11		C		
37	三、父母	2	母印者，知其〔〕自创成家。年	∅	父母破败时日逢印者知其	父母破败时日逢印者知其	脱文(长)	正写 「其父母破败时日逢印者知其自」0 「其父母破败时日逢印者知其」0 「父母破败时日逢印者知其自」0;讹写「其自」1		C		
37	三、父母	2	成家。年官月〔劫〕，年劫月劫，	劫	印日主喜官时日逢才出身富贵守成之造	印日主喜官时日逢才出身富贵守成之造	异文(长)	正写 「月印日主喜官时日逢才出身富贵守成之造年」0 「月印日主喜官时日逢才出身富贵守成之造」0 「印日主喜官时日逢才出身富贵守成之造年」0;讹写「月劫年」2		C		
37	三、父母	2	年官月劫，年〔劫〕月劫，年印月	劫	伤	伤	形近讹	正写 「年伤月」0 「年伤」0 「伤月」0;讹写「年劫月」2		C	同上	
37	三、父母	2	，年劫月劫，〔年印月劫〕，日主喜财，	年印月劫			衍文(长)	正写 「劫日」2 「劫」246 「日」692;讹写「劫年印月劫日」1		C		
37	三、父母	2	，日主喜财，〔遗绪丰勇〕，日主喜劫，	遗绪丰勇	同本站	同本站	见证本亦同	正写 「才丰厚日」0 「才丰厚」0 「丰厚日」0;讹写「才遗绪丰勇日」1	白话+注疏	C		
37	三、父母	6	柱纯粹可观，〔一〕行生化有情，	一	五	五	形近讹	正写 「观五行」0 「观五」1 「五行」98;讹写「观一行」1		A	两见证本作「五行生化」	观，一行 → 观，五行
37	三、父母	6	，连登科甲，〔〕五笔型五子皆	∅	生	生	脱文	正写 「甲生五」0 「甲生」5 「生五」5;讹写「甲五笔型五」1		A	两见证本作「连登科甲，生五子皆登」;「笔型」为五笔输入法残留	连登科甲，五笔型五子皆登 → 连登科甲，生五子皆登
37	三、父母	6	甲，五笔型五〔子皆登仁籍〕，富贵福寿之	子皆登仁籍	同本站	同本站	见证本亦同	正写 「登仕籍」0 「登仕」11 「仕籍」0;讹写「登仁籍」1	扫描	B	仁/仕;同「仁至→仕至」	子皆登仁籍 → 子皆登仕籍
37	三、父母	10	收，然丙火生〔〕孟夏，火气方	∅	于	于	脱文	正写 「生于孟」30 「生于」303 「于孟」30;讹写「生孟」3		B	两见证本作「生于孟夏」	然丙火生孟夏， → 然丙火生于孟夏，
37	三、父母	10	土，窃去命主〔无〕神，时癸盖头	无	元	元	形近讹	正写 「主元神」8 「主元」8 「元神」56;讹写「主无神」1		A	两见证本作「命主元神」	主无神 → 主元神
37	三、父母	10	命主无神，时〔〕癸盖头，巳火	∅	干	干	脱文	正写 「时干癸」1 「时干」40 「干癸」11;讹写「时癸」2		B	两见证本作「时干癸」	，时癸盖 → ，时干癸盖
37	三、父母	10	方木土，出身〔遣〕业丰百姓；丙	遣	遗	遗	形近讹	正写 「身遗业丰厚业」0 「身遗业丰厚」0 「遗业丰厚业」0;讹写「身遣业丰百姓业」0	注疏	A	两见证本作「出身遗业丰厚」	出身遣业丰百姓 → 出身遗业丰厚
37	三、父母	10	火不通根，官〔〕得地，家多破	∅	星	星	脱文	正写 「官星得」5 「官星」177 「星得」28;讹写「官得」12		B	两见证本作「官星得地」	，官得地 → ，官星得地
37	三、父母	10	根，官得地，〔家〕多破耗；丑运	家	定	定	形近讹	正写 「地定多」0 「地定」0 「定多」1;讹写「地家多」1		C	见证本作「定多破耗」,本站亦通	
37	三、父母	10	，刑克异常，〔家业〕十去八九，夫	家业	定粗	定粗	形近讹	正写 「常定粗十」0 「常定粗」0 「定粗十」0;讹写「常家业十」1		C	见证本作「定粗」,不成义	
38	四、兄弟	1	，兄弟必贵；〔比肩重而伤民财杀亦旺者〕，兄弟必富。	比肩重而伤民财杀亦旺者	同本站	同本站	见证本亦同	正写 「伤官财」0 「伤官」175 「官财」0;讹写「伤民财」0	白话+注疏	B	民/官;本书「官民用官」两见证本作「伤官」	比肩重而伤民财杀亦旺者 → 比肩重而伤官财杀亦旺者
38	四、兄弟	2	〔任氏日〕；比肩为兄，	任氏日	同本站	同本站	见证本亦同	正写 「氏曰比」0 「氏曰」137 「曰比」0;讹写「氏日比」1	白话	B	「任氏曰」137 见	任氏日； → 任氏曰；
38	四、兄弟	2	。财生杀党，〔比劫帮峰〕，大被可以同	比劫帮峰	同本站	同本站	见证本亦同	正写 「帮身大」0 「帮身」41 「身大」2;讹写「帮峰大」1	白话	B	峰/身;本书「贴峰」两见证本作「贴身」	比劫帮峰 → 比劫帮身
38	四、兄弟	2	气，弟虽敬而〔史〕必衰；官旺印	史	同本站	兄	形近讹	正写 「而兄必」0 「而兄」2 「兄必」0;讹写「而史必」1		A	古诗文本作「兄」;兄弟章	而史必 → 而兄必
38	四、兄弟	4	无制，喜其丁〔午〕寅亥合而化印	午	同本站	壬	形近讹	正写 「丁壬寅」1 「丁壬」15 「壬寅」16;讹写「丁午寅」1		A	古诗文本作「丁壬」;本例 丁亥 壬寅 丙子 丁酉,丁壬合、寅亥合	丁午寅 → 丁壬寅
38	四、兄弟	4	亥合而化印，〔以杂为恩〕。时支财星，	以杂为恩	同本站	同本站	衍文(重出)		注疏	C	本站与两见证本皆重出「以杂为恩。时支财星，生官坏印」;删须主会话定	
38	四、兄弟	6	太旺亦伤残，〔秘〕须身财并旺，	秘	必	必	形近讹	正写 「残必须」0 「残必」0 「必须」43;讹写「残秘须」1	注疏	B	两见证本作「必须」	残，秘须 → 残，必须
39	五、何知章	6	羡五行无木，〔财水泄而火无助〕，壬水可用。	财水泄而火无助	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	8	所以贵也。夫〔论民与论子〕之法，可相通	论民与论子	同本站	同本站	见证本亦同	正写 「论官与」0 「论官」1 「官与」5;讹写「论民与」1	注疏	B	民/官;见上	论民与论子 → 论官与论子
39	五、何知章	15	，庚运帮身。〔癸酉看登科〕；午运杀旺，	癸酉看登科	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	17	“以杀化权，〔定显露门贵客〕”，此之谓也	定显露门贵客	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	18	何知其人贫?〔财贫神反不真〕。	财贫神反不真	同本站	同本站	见证本亦同	正写 「财神」0 「财」0 「神」997;讹写「财贫神」0	注疏	B	任氏正文一律作「财神不真」;辑要作「财神终不真」;「贫」涉上衍	财贫神反不真 → 财神反不真
39	五、何知章	19	重印轻身弱，〔财重却轻身弱〕，皆为财神不	财重却轻身弱	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	20	任氏〔日〕：财神不真者	日	曰	曰	形近讹	正写 「氏曰才」0 「氏曰」137 「曰才」2;讹写「氏日才」1		A	两见证本作「任氏曰」	任氏日：财 → 任氏曰：财
39	五、何知章	22	者，年干壬水〔能根会局〕，则财星反不	能根会局	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	32	，财喜如心；〔戊子已丑〕，生金晦火，	戊子已丑	同本站	同本站	见证本亦同	正写 「子己丑」2 「子己」6 「己丑」11;讹写「子已丑」1	扫描	B	「已」非天干	戊子已丑 → 戊子己丑
39	五、何知章	35	然富贵之中，〔未当无贱〕，贫贱之中，	未当无贱	同本站	同本站	见证本亦同	正写 「未尝无」5 「未尝」18 「尝无」5;讹写「未当无」2	白话	B	当/尝;「未尝」成词	未当无贱 → 未尝无贱
39	五、何知章	35	沿履者，终受〔千载之令各〕，是以有三等	千载之令各	同本站	同本站	见证本亦同	正写 「令名是」0 「令名」1 「名是」0;讹写「令各是」1	注疏	B	各/名形近	千载之令各 → 千载之令名
39	五、何知章	37	亥、子、丑北〔主〕，官星旺格；	主	方	方	形近讹	正写 「北方官」1 「北方」45 「方官」1;讹写「北主官」1	注疏	A	两见证本作「北方」	丑北主， → 丑北方，
39	五、何知章	41	。亦何盖哉！〔出身未属微贱〕。初习梨园，	出身未属微贱	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	41	发财背主，竟〔损纳〕从九品出仕，	损纳	同本站	同本站	见证本亦同	正写 「竟捐纳」0 「竟捐」0 「捐纳」5;讹写「竟损纳」1	注疏	B	损/捐形近;同书「捐纳」习见	竟损纳 → 竟捐纳
39	五、何知章	44	柱中有用神而〔〕喜神，岁运不	∅	无	无	脱文	正写 「而无喜」1 「而无」55 「无喜」3;讹写「而喜」6		B	两见证本作「有用神而无喜神」	神而喜 → 神而无喜
39	五、何知章	44	水为忌神，以〔比动〕为喜神，所以	比动	同本站	同本站	见证本亦同	正写 「比劫为」2 「比劫」85 「劫为」4;讹写「比动为」1	注疏	B	动/劫形近	以比动 → 以比劫
39	五、何知章	48	水当权，申金〔含生忘冲〕。无火则土冻	含生忘冲	同本站	同本站	见证本亦同	正写 「金贪生」0 「金贪」0 「贪生」4;讹写「金含生」1	注疏	B	含/贪形近;「贪生忘冲」书中常语	含生忘冲 → 贪生忘冲
39	五、何知章	50	，犯罪受难，〔到老不古〕。	到老不古	同本站	同本站	见证本亦同	正写 「不吉」8 「不吉」8 「吉」132;讹写「不古」1	注疏	B	古/吉形近	到老不古 → 到老不吉
39	五、何知章	51	以喜神为药，〔有病有则吉〕，有病无药则	有病有则吉	同本站	同本站	见证本亦同	正写 「有药则」0 「有药」1 「药则」4;讹写「有则」1	注疏	B	与下「有病无药则…」对举	有病有则吉 → 有病有药则吉
39	五、何知章	51	戊土，则甲木〔为当令这忌〕神，看日主之	为当令这忌	同本站	同本站	见证本亦同	正写 「令之忌」0 「令之」12 「之忌」7;讹写「令这忌」1	扫描	B	文言无「这」	为当令这忌 → 为当令之忌
39	五、何知章	58	皆元神厚处，〔宜细究这〕。清而纯粹者	宜细究这	同本站	同本站	见证本亦同	正写 「究之清」0 「究之」23 「之清」3;讹写「究这清」1	扫描	B	文言无「这」	宜细究这 → 宜细究之
39	五、何知章	60	，财逢食生，〔五行元刘皆厚〕 ，四柱通根	五行元刘皆厚	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	68	卯东方木旺，〔官司星〕之根亦薄。所	官司星	同本站	同本站	见证本亦同	正写 「官星」177 「官」995 「星」413;讹写「官司星」1	注疏	B	「司」衍;本书 10 章「伤官司」两见证本删「司」	官司星 → 官星
39	五、何知章	70	化杀之故也，〔淫〕靡无礼者，火	淫	同本站	婬	异体			-		
39	五、何知章	72	寿至九旬外，〔异财如命〕，卒后家业四	异财如命	同本站	同本站	见证本亦同		注疏	C		
39	五、何知章	75	任氏〔日〕：气浊神枯之	日	曰	曰	形近讹	正写 「氏曰气」1 「氏曰」137 「曰气」1;讹写「氏日气」1		A	两见证本作「任氏曰」	任氏日： → 任氏曰：
39	五、何知章	77	，四柱无水，〔似呼中格〕。第支皆湿土	似呼中格	同本站	同本站	见证本亦同	正写 「似乎中」0 「似乎」32 「乎中」2;讹写「似呼中」1	注疏	B	呼/乎	似呼中格 → 似乎中格
39	五、何知章	79	运东方木地，〔疪荫〕有余；寅运得	疪荫	同本站	同本站	见证本亦同	正写 「地庇荫」0 「地庇」0 「庇荫」0;讹写「地疪荫」1	注疏	B	疪/庇,同「荫疪→荫庇」	，疪荫有 → ，庇荫有
39	五、何知章	81	缺，必要有火〔有〕佳；天于三壬	有	才	才	形近讹	正写 「火才佳」0 「火才」3 「才佳」0;讹写「火有佳」1		B	两见证本作「有火才佳」	火有佳 → 火才佳
39	五、何知章	83	，气浊神枯，〔故春人愚昧〕不堪，一事无	故春人愚昧	同本站	同本站	见证本亦同		注疏	C		
40	六、女命章	1	也；满局印绶〔泄官星这气〕者，喜财而身	泄官星这气	同本站	同本站	见证本亦同	正写 「星之气」4 「星之」20 「之气」100;讹写「星这气」1	扫描	B	文言无「这」	泄官星这气 → 泄官星之气
40	六、女命章	2	知其贤愚也。〔淫〕邪嫉妨，不离	淫	同本站	婬	异体			-		
40	六、女命章	2	；详究宜确，〔淫〕秽难逃正论。	淫	同本站	婬	异体			-		
40	六、女命章	3	财乃〔天〕之恩星，女命	天	同本站	夫	形近讹	正写 「乃夫之」0 「乃夫」0 「夫之」1;讹写「乃天之」1		A	古诗文本作「夫」;女命以官为夫,财为夫之恩星	乃天之 → 乃夫之
40	六、女命章	4	富；日主旺，〔无食务〕，官得局，子	无食务	同本站	同本站	见证本亦同	正写 「食伤官」0 「食伤」118 「伤官」175;讹写「食务官」1	白话	B	「食伤」成词	无食务 → 无食伤
40	六、女命章	4	星，有印绶，〔于必少〕；日主旺，印	于必少	同本站	同本站	见证本亦同	正写 「绶子必」0 「绶子」0 「子必」19;讹写「绶于必」1	白话	B	于/子形近;论子女	于必少 → 子必少
40	六、女命章	5	至于〔淫〕邪之说，亦究	淫	同本站	婬	异体			-		
40	六、女命章	5	绶无财者，皆〔淫〕贱之命也。总	淫	同本站	婬	异体			-		
40	六、女命章	5	轻佻美貌而多〔淫〕也；伤官身弱	淫	同本站	婬	异体			-		
40	六、女命章	5	小，不可轻断〔淫〕邪，以渎神怒	淫	同本站	婬	异体			-		
40	六、女命章	5	事，继而渐及〔淫〕邪苟合之秽词	淫	同本站	婬	异体			-		
40	六、女命章	5	不出戏言，则〔刑干之化〕行矣；房帷之	刑干之化	同本站	同本站	见证本亦同	正写 「刑于之」0 「刑于」0 「于之」0;讹写「刑干之」1	注疏	B	干/于形近;语本《诗·思齐》「刑于寡妻」	刑干之化 → 刑于之化
40	六、女命章	11	墓于戌，是以〔淫〕乱不堪。夫遭	淫	同本站	婬	异体			-		
40	六、女命章	13	运西方金地，〔淫〕贱不堪。	淫	同本站	婬	异体			-		
40	六、女命章	15	庚金矣。所以〔淫〕贱之至也。	淫	同本站	婬	异体			-		
40	六、女命章	19	以背夫而去，〔淫〕秽不堪也。	淫	同本站	婬	异体			-		
40	六、女命章	21	病而死。从此〔淫〕秽不堪，后身	淫	同本站	婬	异体			-		
40	六、女命章	23	得疾而死，后〔淫〕秽异常，尤物	淫	同本站	婬	异体			-		
40	六、女命章	57	酉、戊申三十〔载土金这地〕，裕夫发财，	载土金这地	同本站	同本站	见证本亦同	正写 「金之地」6 「金之」51 「之地」94;讹写「金这地」1	扫描	B	文言无「这」	载土金这地 → 载土金之地
40	六、女命章	59	泄其精英，为〔了〕聪明端谨，颇	了	同本站	人	形近讹	正写 「为人聪」1 「为人」39 「人聪」2;讹写「为了聪」1		A	古诗文本作「为人聪明」	为了聪 → 为人聪
40	六、女命章	61	水全无，纯清〔不杂，为了端〕庄。以丙火为	不杂，为了端	同本站	同本站	见证本亦同	正写 「为人端」2 「为人」39 「人端」2;讹写「为了端」1	扫描	B	了/人;同章上例古诗文本「为人聪明端谨」	为了端庄 → 为人端庄
40	六、女命章	61	壬运，克丙火〔而阻矣〕。设使两造运	而阻矣	同本站	同本站	见证本亦同		注疏	C		
41	七、小儿	2	家  ，而无〔余忧〕，虽小儿之命	余忧	同本站	同本站	见证本亦同		注疏	C		
41	七、小儿	2	，无冲无克，〔根通月之〕，气贯生时，	根通月之	同本站	同本站	见证本亦同	正写 「月令气」0 「月令」12 「令气」1;讹写「月之气」1	注疏	B	之/令;「月令」成词	根通月之 → 根通月令
41	七、小儿	2	相托，或两意〔情〕通，互相疪护	情	相	相	形近讹	正写 「意相通」0 「意相」1 「相通」9;讹写「意情通」4		C	见证本作「两意相通」,本站亦通	
41	七、小儿	2	意情通，互相〔疪〕护，未交运而	疪	庇	庇	形近讹	正写 「相庇护」0 「相庇」0 「庇护」0;讹写「相疪护」1		B	两见证本作「互相庇护」	相疪护 → 相庇护
41	七、小儿	6	金。且运走东〔南木火这地〕，断非守业之	南木火这地	同本站	同本站	见证本亦同	正写 「火之地」5 「火之」67 「之地」94;讹写「火这地」1	扫描	B	文言无「这」	南木火这地 → 南木火之地
43	九、奋郁	2	火多，则运宜〔〕辰乙巳；天干	∅	甲	甲	脱文	正写 「宜甲辰」0 「宜甲」3 「甲辰」8;讹写「宜辰」1	注疏	A	两见证本作「甲辰乙巳」	运宜辰 → 运宜甲辰
43	九、奋郁	2	不美矣。细究〔这〕，自有深机也	这	之	之	形近讹	正写 「究之自」0 「究之」23 「之自」1;讹写「究这自」1	扫描	A	两见证本作「细究之」	细究这，自 → 细究之，自
43	九、奋郁	8	，早登科甲，〔仕〕至方伯，六旬	仕	仁	仁	本站已改			-		
44	十、恩怨	1	媒矣，虽是隔〔堔〕分立，其情自	堔	远	远	形近讹	正写 「隔远分」0 「隔远」1 「远分」0;讹写「隔堔分」1	白话	B	两见证本作「隔远」	隔堔分 → 隔远分
44	十、恩怨	2	化其为喜神，〔谓解逅相逢〕也；日主喜金	谓解逅相逢	同本站	同本站	见证本亦同	正写 「谓邂逅」1 「谓邂」1 「邂逅」2;讹写「谓解逅」1	白话	B	解/邂	谓解逅相逢 → 谓邂逅相逢
44	十、恩怨	4	然远隔，两意〔情能〕，喜辰酉合而	情能	同本站	同本站	见证本亦同	正写 「意引通喜」0 「意引通」0 「引通喜」0;讹写「意情能喜」1	白话	C		
44	十、恩怨	4	子己亥戊戌，〔酉〕北土金之地，	酉	西	西	形近讹	正写 「戌西北」0 「戌西」1 「西北」35;讹写「戌酉北」1		A	两见证本作「西北」	戌，酉北 → 戌，西北
44	十、恩怨	6	育慈爱之心，〔邀己酉合成金〕，归之库内，	邀己酉合成金	同本站	同本站	见证本亦同	正写 「邀巳酉」0 「邀巳」0 「巳酉」11;讹写「邀己酉」1	白话	B	巳酉丑合金局	邀己酉合成金 → 邀巳酉合成金
44	十、恩怨	8	，求合不得，〔年谓怨起恩中也〕。兼之运走东	年谓怨起恩中也	同本站	同本站	见证本亦同	正写 「得所谓」0 「得所」14 「所谓」95;讹写「得年谓」1	白话	B	年/所;「所谓」	年谓怨起恩中也 → 所谓怨起恩中也
45	十一、闲神	0	着，要紧之场〔作自豪〕。	作自豪	同本站	同本站	见证本亦同	正写 「自家」4 「自家」4 「家」143;讹写「自豪」1	注疏	B	豪/家形近;任氏本章所引作「自家」	作自豪 → 作自家
45	十一、闲神	2	是以用神必得〔喜谉之佐〕，闲神之助，	喜谉之佐	同本站	同本站	见证本亦同	正写 「喜神之」4 「喜神」114 「神之」24;讹写「喜谉之」1	白话+注疏	B	与「闲神之助」对	喜谉之佐 → 喜神之佐
45	十一、闲神	4	，火旺之地，〔仕〕至尚书。	仕	仁	仁	本站已改			-		
45	十一、闲神	6	〔甲木生于促春〕，支逢禄刃，	甲木生于促春	同本站	同本站	见证本亦同	正写 「于仲春」19 「于仲」42 「仲春」20;讹写「于促春」1	白话+注疏	B	促/仲形近;「仲春」20 见	甲木生于促春 → 甲木生于仲春
45	十一、闲神	6	以早登之路，〔仕〕至观察；惜无	仕	仁	仁	本站已改			-		
45	十一、闲神	7	要向天涯游，〔何事裙钗瓷意留〕。	何事裙钗瓷意留	同本站	同本站	见证本亦同	正写 「钗恣意」0 「钗恣」0 「恣意」1;讹写「钗瓷意」1	白话+注疏	B	瓷/恣形近	何事裙钗瓷意留 → 何事裙钗恣意留
45	十一、闲神	8	而反无情，如〔禄钗〕这留不去也。	禄钗	同本站	同本站	见证本亦同	正写 「钗之留」0 「钗之」1 「之留」0;讹写「钗这留」1	注疏+扫描	B	「这」→「之」(文言无「这」);「禄钗」存疑不改	如禄钗这留不去也 → 如禄钗之留不去也
45	十一、闲神	13	成诵，后因恋〔洒色〕，废学亡资，	洒色	同本站	同本站	见证本亦同	正写 「恋酒色」0 「恋酒」0 「酒色」1;讹写「恋洒色」1	注疏	B	洒/酒形近;本书「猩嗜洒」两见证本作「酒」	恋洒色 → 恋酒色
45	十一、闲神	16	，日主能冲克〔他审〕而去之，则喜	他审	同本站	同本站	见证本亦同	正写 「他神而」2 「他神」6 「神而」31;讹写「他审而」1	注疏	B	审/神	克他审 → 克他神
46	十二、从象	0	〔孤立〕无气唯有从，	孤立			本站多出(后人补纲领)	正写 「无」989 「」0 「无」989;讹写「孤立无」4		C	本站自注「原文缺，此后人按原注意补」;两见证本无;辑要本章纲领作「从得真者只论从，从神又有吉和凶」	
47	十三、化象	1	季，单遇一位〔已土〕，在月时上合	已土	同本站	同本站	见证本亦同	正写 「位己土」0 「位己」0 「己土」61;讹写「位已土」1	注疏+扫描	B	天干己土;甲己合	位已土 → 位己土
47	十三、化象	4	金火土并旺，〔登〕黄甲，宴琼林	登	癸	癸	本站已改			-		
49	十五、假化	2	有合神不真而〔日主夫根〕者，有化神不	日主夫根	同本站	同本站	见证本亦同	正写 「主无根」2 「主无」17 「无根」93;讹写「主夫根」1	白话+注疏	B	夫/无形近	日主夫根 → 日主无根
49	十五、假化	2	遭孤苦，早见〔蹭踫〕，否则其人执	蹭踫	同本站	同本站	见证本亦同	正写 「蹭蹬否」0 「蹭蹬」18 「蹬否」0;讹写「蹭踫否」1	注疏	B	踫/蹬	见蹭踫 → 见蹭蹬
49	十五、假化	8	甲连登；辛巳〔任午〕，南方火地，	任午	同本站	同本站	见证本亦同	正写 「巳壬午」1 「巳壬」2 「壬午」14;讹写「巳任午」1	白话+注疏	B	任/壬;大运辛巳 壬午	巳任午 → 巳壬午
49	十五、假化	8	，生助化神，〔仕〕至黄堂。	仕	仁	仁	本站已改			-		
50	十六、顺局	1	，成气象，如〔戊已日〕遇申酉戌成西	戊已日	同本站	同本站	见证本亦同	正写 「戊己日」1 「戊己」15 「己日」2;讹写「戊已日」1	白话+扫描	B	「已」非天干	戊已日 → 戊己日
50	十六、顺局	2	，儿又生孙，〔可享儿孙这荣〕矣。故为顺局	可享儿孙这荣	同本站	同本站	见证本亦同	正写 「孙之荣」0 「孙之」4 「之荣」4;讹写「孙这荣」1	白话+扫描	B	文言无「这」	可享儿孙这荣 → 可享儿孙之荣
50	十六、顺局	2	忘生育之意，〔起争战这风〕，不伤人丁，	起争战这风	同本站	同本站	见证本亦同	正写 「战之风」1 「战之」3 「之风」19;讹写「战这风」1	扫描	B	文言无「这」	起争战这风 → 起争战之风
50	十六、顺局	4	喜丁火合壬化〔术〕，反生丙火，	术	同本站	木	形近讹	正写 「化木反」1 「化木」24 「木反」6;讹写「化术反」1	注疏	A	古诗文本作「化木」;丁壬化木	壬化术， → 壬化木，
50	十六、顺局	12	。联登甲第，〔仕至待郎〕。	仕至待郎	同本站	同本站	见证本亦同	正写 「至侍郎」6 「至侍」6 「侍郎」8;讹写「至待郎」1	白话+注疏	B	待/侍;同书「仕至侍郎」	仕至待郎 → 仕至侍郎
50	十六、顺局	16	其支会财局，〔生肓有情〕，与前大同小	生肓有情	同本站	同本站	见证本亦同	正写 「生育有」0 「生育」9 「育有」0;讹写「生肓有」1	白话+注疏	B	肓/育形近	生肓有情 → 生育有情
50	十六、顺局	20	年入泮，甲寅〔拨贡〕出仕县宰，乙	拨贡	同本站	同本站	见证本亦同	正写 「寅拔贡」0 「寅拔」0 「拔贡」1;讹写「寅拨贡」1	注疏	B	拨/拔形近	寅拨贡 → 寅拔贡
51	十七、反局	10	〔已土〕生于孟夏，局	已土	同本站	同本站	见证本亦同	正写 「己土」61 「己」202 「己土」61;讹写「已土」5	扫描	B	天干己土	已土生 → 己土生
51	十七、反局	10	其不能显秩，〔仁路蹭蹬〕者，局中无水	仁路蹭蹬	同本站	同本站	见证本亦同	正写 「秩仕路」0 「秩仕」0 「仕路」28;讹写「秩仁路」1	白话+扫描	B	仕路 28 见	仁路蹭蹬 → 仕路蹭蹬
51	十七、反局	12	候而论也。如〔土生冬令〕，寒而且凋，	土生冬令	同本站	同本站	见证本亦同		注疏	C		
51	十七、反局	14	，木嫩金坚，〔金赖丙火〕逢生临旺；尤	金赖丙火	同本站	同本站	见证本亦同	正写 「坚全赖」0 「坚全」0 「全赖」13;讹写「坚金赖」1	注疏	B	金/全形近	金赖丙火 → 全赖丙火
51	十七、反局	21	之慈母，反使〔火炽百焚灭〕，是谓灭子。	火炽百焚灭	同本站	同本站	见证本亦同	正写 「炽而焚」0 「炽而」0 「而焚」1;讹写「炽百焚」1	注疏	B	百/而;本书「百此时」两见证本作「而此时」	火炽百焚灭 → 火炽而焚灭
51	十七、反局	22	之理，与君赖〔卧〕生之意相似也	卧	同本站	臣	形近讹	正写 「赖臣生」6 「赖臣」6 「臣生」6;讹写「赖卧生」1	白话+注疏	A	古诗文本作「君赖臣生」;本章纲领	赖卧生 → 赖臣生
51	十七、反局	22	之意相似也，〔细究这〕，均是印旺，	细究这	同本站	同本站	见证本亦同	正写 「究之均」0 「究之」23 「之均」0;讹写「究这均」1	扫描	B	文言无「这」	细究这 → 细究之
51	十七、反局	22	印也。母慈灭〔了〕。纵有财星无	了	同本站	子	形近讹	正写 「灭子纵」0 「灭子」5 「子纵」0;讹写「灭了纵」1		A	古诗文本作「母慈灭子」;本章纲领	慈灭了。 → 慈灭子。
51	十七、反局	24	辛亥、庚戌、〔巳酉〕、戊申，土生	巳酉	同本站	同本站	见证本亦同	正写 「戌己酉」1 「戌己」3 「己酉」14;讹写「戌巳酉」1	注疏	B	大运 辛亥 庚戌 己酉 戊申 顺次	戌、巳酉、 → 戌、己酉、
51	十七、反局	24	，颠沛异常，〔夫存生之地〕，是以六旬以	夫存生之地	同本站	同本站	见证本亦同	正写 「常无存」0 「常无」1 「无存」5;讹写「常夫存」1	注疏	B	夫/无形近	夫存生之地 → 无存生之地
51	十七、反局	24	运助起日元，〔顺母这性〕，得际遇，娶	顺母这性	同本站	同本站	见证本亦同	正写 「母之性」7 「母之」15 「之性」51;讹写「母这性」1	扫描	B	文言无「这」	顺母这性 → 顺母之性
51	十七、反局	26	，元神泄尽，〔土重金坦〕，母多灭子。	土重金坦	同本站	同本站	见证本亦同	正写 「金埋母」0 「金埋」3 「埋母」0;讹写「金坦母」1	白话+注疏	B	坦/埋形近	土重金坦 → 土重金埋
